environment,architecture,tier,server,trials,median_cpu_seconds,median_max_rss_kib,maximum_threads,median_voluntary_context_switches,median_involuntary_context_switches
local-arm64,arm64,application,actix-web,7,10.97,4020,10,696278,55083
local-arm64,arm64,plain,aws,7,17.3,23012,258,459088,5064
local-arm64,arm64,application,axum,7,6.12,4892,9,343794,3808
local-arm64,arm64,plain,ews,7,16.76,2108,2,338036,427
local-arm64,arm64,application,flyology-app-lightweight,7,19.5,13152,17,415719,76647
local-arm64,arm64,application,flyology-app-native,7,19.03,13912,257,1083373,50548
local-arm64,arm64,plain,flyology-lightweight,7,36.38,13032,17,889314,140066
local-arm64,arm64,plain,flyology-native,7,36.76,13128,257,2342891,120506
local-arm64,arm64,plain,hyper,7,11.61,4840,9,682951,7005
local-arm64,arm64,application,servletada-aws,7,10.58,28016,258,144342,4337
local-arm64,arm64,application,servletada-ews,7,8.56,4764,2,154406,224
shared-arm64,arm64,application,actix-web,7,47.26,1920,10,1477610,31766
shared-arm64,arm64,plain,aws,7,97.76,17280,258,971411,33695
shared-arm64,arm64,application,axum,7,47.34,1920,9,1048820,27207
shared-arm64,arm64,plain,ews,7,57.65,1280,2,421369,8582
shared-arm64,arm64,application,flyology-app-lightweight,7,61.23,8320,17,545350,135879
shared-arm64,arm64,application,flyology-app-native,7,58.01,9600,257,1569311,56304
shared-arm64,arm64,plain,flyology-lightweight,7,120.48,8320,17,1255000,296366
shared-arm64,arm64,plain,flyology-native,7,114.46,9600,257,3506335,113933
shared-arm64,arm64,plain,hyper,7,90.56,1920,9,2312736,43626
shared-arm64,arm64,application,servletada-aws,7,55.06,21760,258,347480,57188
shared-arm64,arm64,application,servletada-ews,7,29.39,3840,2,187071,4952
shared-amd64,amd64,application,actix-web,7,40.24,4564,10,2189183,46
shared-amd64,amd64,plain,aws,7,94.65,21632,258,2282316,15127
shared-amd64,amd64,application,axum,7,40.14,4784,9,1595895,37
shared-amd64,amd64,plain,ews,7,60.41,2528,2,664191,40
shared-amd64,amd64,application,flyology-app-lightweight,7,62.46,11916,17,831401,113538
shared-amd64,amd64,application,flyology-app-native,7,61.44,13524,257,2453772,72496
shared-amd64,amd64,plain,flyology-lightweight,7,122.53,12552,17,1898904,269081
shared-amd64,amd64,plain,flyology-native,7,120.43,13684,257,5670809,187962
shared-amd64,amd64,plain,hyper,7,76.98,4608,9,3392743,68
shared-amd64,amd64,application,servletada-aws,7,59.94,25416,258,1076794,48470
shared-amd64,amd64,application,servletada-ews,7,30.67,4984,2,306068,23
