environment,architecture,tier,observation,server,workload,concurrency,connection_mode,success_rate,errors,timeouts,reason,classification
shared-arm64,arm64,plain,trial-01__ews__plaintext__c0008__keepalive.json,ews,plaintext,8,keepalive,0.9999767134984088,3,3,strict 100% success gate,excluded-by-strict-success-gate
shared-arm64,arm64,plain,trial-01__ews__plaintext__c0032__keepalive.json,ews,plaintext,32,keepalive,0.9995627254696797,56,56,strict 100% success gate,excluded-by-strict-success-gate
shared-arm64,arm64,plain,trial-01__ews__plaintext__c0128__keepalive.json,ews,plaintext,128,keepalive,0.9979817187083,242,242,strict 100% success gate,excluded-by-strict-success-gate
shared-arm64,arm64,plain,trial-01__ews__response-1k__c0008__keepalive.json,ews,response-1k,8,keepalive,0.9999762500395832,3,3,strict 100% success gate,excluded-by-strict-success-gate
shared-arm64,arm64,plain,trial-01__ews__response-1k__c0032__keepalive.json,ews,response-1k,32,keepalive,0.9995690343176377,54,54,strict 100% success gate,excluded-by-strict-success-gate
shared-arm64,arm64,plain,trial-01__ews__response-1k__c0128__keepalive.json,ews,response-1k,128,keepalive,0.9979468004306711,246,246,strict 100% success gate,excluded-by-strict-success-gate
shared-arm64,arm64,application,trial-01__servletada-ews__routed-get__c0008__keepalive.json,servletada-ews,routed-get,8,keepalive,0.9999732248045411,3,3,strict 100% success gate,excluded-by-strict-success-gate
shared-arm64,arm64,application,trial-01__servletada-ews__routed-get__c0032__keepalive.json,servletada-ews,routed-get,32,keepalive,0.9995260790643191,53,53,strict 100% success gate,excluded-by-strict-success-gate
shared-arm64,arm64,application,trial-01__servletada-ews__routed-get__c0128__keepalive.json,servletada-ews,routed-get,128,keepalive,0.9976967008070987,244,244,strict 100% success gate,excluded-by-strict-success-gate
shared-arm64,arm64,plain,trial-02__ews__plaintext__c0008__keepalive.json,ews,plaintext,8,keepalive,0.9999688665073669,4,4,strict 100% success gate,excluded-by-strict-success-gate
shared-arm64,arm64,plain,trial-02__ews__plaintext__c0032__keepalive.json,ews,plaintext,32,keepalive,0.9995637711979933,56,56,strict 100% success gate,excluded-by-strict-success-gate
shared-arm64,arm64,plain,trial-02__ews__plaintext__c0128__keepalive.json,ews,plaintext,128,keepalive,0.9979862532660975,242,242,strict 100% success gate,excluded-by-strict-success-gate
shared-arm64,arm64,plain,trial-02__ews__response-1k__c0008__keepalive.json,ews,response-1k,8,keepalive,0.999968358435641,4,4,strict 100% success gate,excluded-by-strict-success-gate
shared-arm64,arm64,plain,trial-02__ews__response-1k__c0032__keepalive.json,ews,response-1k,32,keepalive,0.9995881612190428,52,52,strict 100% success gate,excluded-by-strict-success-gate
shared-arm64,arm64,plain,trial-02__ews__response-1k__c0128__keepalive.json,ews,response-1k,128,keepalive,0.9979113984136985,242,242,strict 100% success gate,excluded-by-strict-success-gate
shared-arm64,arm64,application,trial-02__servletada-ews__routed-get__c0008__keepalive.json,servletada-ews,routed-get,8,keepalive,0.9999641323158867,4,4,strict 100% success gate,excluded-by-strict-success-gate
shared-arm64,arm64,application,trial-02__servletada-ews__routed-get__c0032__keepalive.json,servletada-ews,routed-get,32,keepalive,0.9995137588243769,54,54,strict 100% success gate,excluded-by-strict-success-gate
shared-arm64,arm64,application,trial-02__servletada-ews__routed-get__c0128__keepalive.json,servletada-ews,routed-get,128,keepalive,0.997733332094717,244,244,strict 100% success gate,excluded-by-strict-success-gate
shared-arm64,arm64,plain,trial-03__ews__plaintext__c0008__keepalive.json,ews,plaintext,8,keepalive,0.9999767420225137,3,3,strict 100% success gate,excluded-by-strict-success-gate
shared-arm64,arm64,plain,trial-03__ews__plaintext__c0032__keepalive.json,ews,plaintext,32,keepalive,0.9995701479472611,55,55,strict 100% success gate,excluded-by-strict-success-gate
shared-arm64,arm64,plain,trial-03__ews__plaintext__c0128__keepalive.json,ews,plaintext,128,keepalive,0.9980490321748454,242,242,strict 100% success gate,excluded-by-strict-success-gate
shared-arm64,arm64,plain,trial-03__ews__response-1k__c0008__keepalive.json,ews,response-1k,8,keepalive,0.9999683759467451,4,4,strict 100% success gate,excluded-by-strict-success-gate
shared-arm64,arm64,plain,trial-03__ews__response-1k__c0032__keepalive.json,ews,response-1k,32,keepalive,0.9995755993658013,53,53,strict 100% success gate,excluded-by-strict-success-gate
shared-arm64,arm64,plain,trial-03__ews__response-1k__c0128__keepalive.json,ews,response-1k,128,keepalive,0.9979094016947555,244,244,strict 100% success gate,excluded-by-strict-success-gate
shared-arm64,arm64,application,trial-03__servletada-ews__routed-get__c0008__keepalive.json,servletada-ews,routed-get,8,keepalive,0.9999590310851642,4,4,strict 100% success gate,excluded-by-strict-success-gate
shared-arm64,arm64,application,trial-03__servletada-ews__routed-get__c0032__keepalive.json,servletada-ews,routed-get,32,keepalive,0.9994266524694897,56,56,strict 100% success gate,excluded-by-strict-success-gate
shared-arm64,arm64,application,trial-03__servletada-ews__routed-get__c0128__keepalive.json,servletada-ews,routed-get,128,keepalive,0.9973902250135263,246,246,strict 100% success gate,excluded-by-strict-success-gate
shared-amd64,amd64,plain,trial-01__ews__plaintext__c0008__keepalive.json,ews,plaintext,8,keepalive,0.9999804580630032,3,3,strict 100% success gate,excluded-by-strict-success-gate
shared-amd64,amd64,plain,trial-01__ews__plaintext__c0032__keepalive.json,ews,plaintext,32,keepalive,0.999654053771793,53,53,strict 100% success gate,excluded-by-strict-success-gate
shared-amd64,amd64,plain,trial-01__ews__plaintext__c0128__keepalive.json,ews,plaintext,128,keepalive,0.9983875355837055,243,243,strict 100% success gate,excluded-by-strict-success-gate
shared-amd64,amd64,plain,trial-01__ews__response-1k__c0008__keepalive.json,ews,response-1k,8,keepalive,0.9999804105939508,3,3,strict 100% success gate,excluded-by-strict-success-gate
shared-amd64,amd64,plain,trial-01__ews__response-1k__c0032__keepalive.json,ews,response-1k,32,keepalive,0.9996372558072047,55,55,strict 100% success gate,excluded-by-strict-success-gate
shared-amd64,amd64,plain,trial-01__ews__response-1k__c0128__keepalive.json,ews,response-1k,128,keepalive,0.9982666046590285,246,246,strict 100% success gate,excluded-by-strict-success-gate
shared-amd64,amd64,application,trial-01__servletada-ews__routed-get__c0008__keepalive.json,servletada-ews,routed-get,8,keepalive,0.9999843172925373,2,2,strict 100% success gate,excluded-by-strict-success-gate
shared-amd64,amd64,application,trial-01__servletada-ews__routed-get__c0032__keepalive.json,servletada-ews,routed-get,32,keepalive,0.9995506519558676,56,56,strict 100% success gate,excluded-by-strict-success-gate
shared-amd64,amd64,application,trial-01__servletada-ews__routed-get__c0128__keepalive.json,servletada-ews,routed-get,128,keepalive,0.9981154409245242,242,242,strict 100% success gate,excluded-by-strict-success-gate
shared-amd64,amd64,plain,trial-02__ews__plaintext__c0008__keepalive.json,ews,plaintext,8,keepalive,0.9999863216063906,2,2,strict 100% success gate,excluded-by-strict-success-gate
shared-amd64,amd64,plain,trial-02__ews__plaintext__c0032__keepalive.json,ews,plaintext,32,keepalive,0.9996609373777419,52,52,strict 100% success gate,excluded-by-strict-success-gate
shared-amd64,amd64,plain,trial-02__ews__plaintext__c0128__keepalive.json,ews,plaintext,128,keepalive,0.9983681159035729,246,246,strict 100% success gate,excluded-by-strict-success-gate
shared-amd64,amd64,plain,trial-02__ews__response-1k__c0008__keepalive.json,ews,response-1k,8,keepalive,0.9999868746595615,2,2,strict 100% success gate,excluded-by-strict-success-gate
shared-amd64,amd64,plain,trial-02__ews__response-1k__c0032__keepalive.json,ews,response-1k,32,keepalive,0.9996679879391537,49,49,strict 100% success gate,excluded-by-strict-success-gate
shared-amd64,amd64,plain,trial-02__ews__response-1k__c0128__keepalive.json,ews,response-1k,128,keepalive,0.9982830887719567,247,247,strict 100% success gate,excluded-by-strict-success-gate
shared-amd64,amd64,application,trial-02__servletada-ews__routed-get__c0008__keepalive.json,servletada-ews,routed-get,8,keepalive,0.9999857763617356,2,2,strict 100% success gate,excluded-by-strict-success-gate
