environment,architecture,tier,server,trials,median_cpu_seconds,median_max_rss_kib,maximum_threads,median_voluntary_context_switches,median_involuntary_context_switches,classification
shared-arm64,arm64,application,actix-web,3,206.62,1920,10,5345713,164441,three-trial-whole-server-lifecycle
shared-arm64,arm64,plain,aws,3,376.91,24320,258,4740543,206131,three-trial-whole-server-lifecycle
shared-arm64,arm64,application,axum,3,195.0,4480,9,2147585,119995,three-trial-whole-server-lifecycle
shared-arm64,arm64,plain,ews,3,69.87,1280,2,106,26900,three-trial-whole-server-lifecycle
shared-arm64,arm64,application,flyology-app-lightweight,3,240.22,9600,17,948796,479542,three-trial-whole-server-lifecycle
shared-arm64,arm64,application,flyology-app-native,3,230.32,10880,257,6653985,294929,three-trial-whole-server-lifecycle
shared-arm64,arm64,plain,flyology-lightweight,3,475.04,9600,17,2153311,1045174,three-trial-whole-server-lifecycle
shared-arm64,arm64,plain,flyology-native,3,457.1,8960,257,14811659,647269,three-trial-whole-server-lifecycle
shared-arm64,arm64,plain,hyper,3,373.66,5120,9,5016485,192620,three-trial-whole-server-lifecycle
shared-arm64,arm64,application,servletada-aws,3,206.13,29440,258,2318448,235228,three-trial-whole-server-lifecycle
shared-arm64,arm64,application,servletada-ews,3,34.92,3840,2,53,13349,three-trial-whole-server-lifecycle
shared-amd64,amd64,application,actix-web,3,173.32,5932,10,8931504,496,three-trial-whole-server-lifecycle
shared-amd64,amd64,plain,aws,3,437.47,28828,258,14019712,125210,three-trial-whole-server-lifecycle
shared-amd64,amd64,application,axum,3,184.69,6912,9,3760382,168,three-trial-whole-server-lifecycle
shared-amd64,amd64,plain,ews,3,69.88,2528,2,83,42,three-trial-whole-server-lifecycle
shared-amd64,amd64,application,flyology-app-lightweight,3,245.05,12740,17,1450882,401924,three-trial-whole-server-lifecycle
shared-amd64,amd64,application,flyology-app-native,3,254.09,13464,257,10455689,280001,three-trial-whole-server-lifecycle
shared-amd64,amd64,plain,flyology-lightweight,3,485.57,12948,17,3530847,925257,three-trial-whole-server-lifecycle
shared-amd64,amd64,plain,flyology-native,3,501.23,13676,257,24586819,665809,three-trial-whole-server-lifecycle
shared-amd64,amd64,plain,hyper,3,349.09,6316,9,8059455,385,three-trial-whole-server-lifecycle
shared-amd64,amd64,application,servletada-aws,3,239.28,33356,258,6841970,277103,three-trial-whole-server-lifecycle
shared-amd64,amd64,application,servletada-ews,3,34.95,4896,2,45,58,three-trial-whole-server-lifecycle
