environment,architecture,tier,server,workload,concurrency,connection_mode,trials,median_requests_per_second,min_requests_per_second,max_requests_per_second,median_p50_ms,median_p90_ms,median_p99_ms,median_p999_ms,minimum_success_rate,maximum_timeouts
local-arm64,arm64,application,actix-web,routed-get,1,keepalive,7,31773.290711017456,23516.027712757048,33976.09391430305,0.029873999999999998,0.036125,0.046416,0.109208,1.0,0
local-arm64,arm64,plain,aws,plaintext,1,keepalive,7,16514.118179788144,15742.29781932429,19664.692452802545,0.058832999999999996,0.06774999999999999,0.078292,0.196126,1.0,0
local-arm64,arm64,plain,aws,response-1k,1,keepalive,7,16346.042981770795,14798.844822556397,17663.61146209916,0.059206,0.06737399999999999,0.079709,0.194792,1.0,0
local-arm64,arm64,application,axum,routed-get,1,keepalive,7,32238.172022631177,31642.195015137862,35013.942216354204,0.029833000000000002,0.036125,0.045542,0.10579200000000001,1.0,0
local-arm64,arm64,plain,ews,plaintext,1,keepalive,7,16738.351369888405,15093.608174460025,17395.20767052217,0.059794,0.066458,0.07645800000000001,0.172496,1.0,0
local-arm64,arm64,plain,ews,response-1k,1,keepalive,7,17149.469736590665,16045.231757672536,18146.986674960794,0.058167,0.06679199999999999,0.075167,0.171671,1.0,0
local-arm64,arm64,application,flyology-app-lightweight,routed-get,1,keepalive,7,20567.17243189911,19867.820147287355,22820.72445680771,0.047208,0.053458000000000006,0.06525,0.143209,1.0,0
local-arm64,arm64,application,flyology-app-native,routed-get,1,keepalive,7,21554.808905047226,20434.446110793542,24335.151860427217,0.044875,0.051126,0.064667,0.29104199999999997,1.0,0
local-arm64,arm64,plain,flyology-lightweight,plaintext,1,keepalive,7,21658.505334158774,19577.76435113907,33004.13351606746,0.045000000000000005,0.050624999999999996,0.069959,0.172376,1.0,0
local-arm64,arm64,plain,flyology-lightweight,response-1k,1,keepalive,7,21221.97191306527,19178.103128384228,22447.269762436936,0.046623,0.051915,0.06691699999999999,0.155,1.0,0
local-arm64,arm64,plain,flyology-native,plaintext,1,keepalive,7,22851.32343538285,20855.21072637182,22997.46117680871,0.042709000000000004,0.047084,0.057333,0.206708,1.0,0
local-arm64,arm64,plain,flyology-native,response-1k,1,keepalive,7,22547.611368088317,21200.29752004701,22652.018611583135,0.043792,0.048208,0.06516699999999999,0.239043,1.0,0
local-arm64,arm64,plain,hyper,plaintext,1,keepalive,7,32593.11478771841,31306.36239756924,33202.52769426161,0.029042000000000002,0.035290999999999996,0.044039999999999996,0.08870700000000001,1.0,0
local-arm64,arm64,plain,hyper,response-1k,1,keepalive,7,32812.0175232079,31673.836114336624,35674.17714748467,0.029042000000000002,0.035250000000000004,0.044417,0.10708400000000001,1.0,0
local-arm64,arm64,application,servletada-aws,routed-get,1,keepalive,7,10355.057766702621,9927.090888284456,10923.591984721485,0.094917,0.108542,0.127329,0.291377,1.0,0
local-arm64,arm64,application,servletada-ews,routed-get,1,keepalive,7,15518.937236694424,13467.706729208123,16907.659986994055,0.062501,0.070999,0.082621,0.181785,1.0,0
shared-arm64,arm64,application,actix-web,routed-get,1,keepalive,7,21760.026498433515,21388.55491438794,21879.63159726211,0.040880999999999994,0.056799999999999996,0.07832,0.12164,1.0,0
shared-arm64,arm64,plain,aws,plaintext,1,keepalive,7,8080.879624123264,7911.748704887143,8511.990859404506,0.11095999999999999,0.167961,0.222161,0.31596100000000005,1.0,0
shared-arm64,arm64,plain,aws,response-1k,1,keepalive,7,7888.824525393625,7599.240177637401,8151.98402682289,0.113081,0.17479999999999998,0.23400100000000001,0.327881,1.0,0
shared-arm64,arm64,application,axum,routed-get,1,keepalive,7,21152.508695410248,20892.86339062893,21433.177243594506,0.042120000000000005,0.05888,0.08067999999999999,0.124721,1.0,0
shared-arm64,arm64,plain,ews,plaintext,1,keepalive,7,7083.913622024433,7035.015225857277,7230.938786272397,0.126161,0.196081,0.250361,0.303362,1.0,0
shared-arm64,arm64,plain,ews,response-1k,1,keepalive,7,6985.174309950053,6922.973255253558,7041.468007969864,0.128,0.19864099999999998,0.25628100000000004,0.310562,1.0,0
shared-arm64,arm64,application,flyology-app-lightweight,routed-get,1,keepalive,7,12043.249146629678,11976.934896589877,12125.941621621989,0.07492,0.10584,0.143641,0.307241,1.0,0
shared-arm64,arm64,application,flyology-app-native,routed-get,1,keepalive,7,13164.433147417505,12992.397396113158,13230.453895361623,0.06804099999999999,0.096,0.128,0.417842,1.0,0
