architecture,server,trials,median_cpu_seconds,median_max_rss_kib,maximum_threads,median_voluntary_context_switches,median_involuntary_context_switches
arm64,aws,7,97.76,17280,258,515,49
arm64,ews,7,57.64,1280,2,3,2
arm64,flyology-app-lightweight,7,27.12,5760,2,4,4
arm64,flyology-app-native,7,93.88,7040,257,2,120
arm64,flyology-lightweight,7,52.7,5760,2,3,18
arm64,flyology-native,7,186.19,7040,257,2,147
arm64,servletada-aws,7,55.08,21120,258,514,68
arm64,servletada-ews,7,29.31,3840,2,3,2
amd64,aws,7,93.81,21540,258,514,1
amd64,ews,7,60.3,2544,2,3,1
amd64,flyology-app-lightweight,7,27.44,7660,2,3,1
amd64,flyology-app-native,7,106.03,12916,257,2,1
amd64,flyology-lightweight,7,51.6,7784,2,3,1
amd64,flyology-native,7,212.47,13552,257,2,1
amd64,servletada-aws,7,59.73,25356,258,514,1
amd64,servletada-ews,7,30.61,4956,2,3,1
