architecture,server,workload,concurrency,connection_mode,trials,median_requests_per_second,min_requests_per_second,max_requests_per_second,median_p50_ms,median_p90_ms,median_p99_ms,median_p999_ms,minimum_success_rate
arm64,aws,plaintext,1,keepalive,7,7893.793693390169,7543.31887474677,8265.775731313717,0.113761,0.172881,0.227521,0.314761,1.0
arm64,aws,response-1k,1,keepalive,7,7517.034712174912,7259.213394977384,7961.792832066523,0.11908099999999999,0.180401,0.23772100000000002,0.326202,1.0
arm64,ews,plaintext,1,keepalive,7,7074.800143374973,7013.362937330801,7136.048124323608,0.12624000000000002,0.197081,0.249962,0.30036199999999996,1.0
arm64,ews,response-1k,1,keepalive,7,6895.067389979887,6874.80304611657,6993.5849602770595,0.12928,0.201561,0.260642,0.317562,1.0
arm64,flyology-app-lightweight,routed-get,1,keepalive,7,11898.936873930952,11610.116904199378,12013.908216188438,0.074881,0.10644100000000001,0.145561,0.8988849999999999,1.0
arm64,flyology-app-native,routed-get,1,keepalive,7,13551.067516537083,13263.75969634742,13837.598576277684,0.06616,0.092521,0.12828,0.475923,1.0
arm64,flyology-lightweight,plaintext,1,keepalive,7,13297.654372120245,13212.840115688066,13424.028243402652,0.06692100000000001,0.09372100000000001,0.127841,0.906405,1.0
arm64,flyology-lightweight,response-1k,1,keepalive,7,12758.721374701177,12620.924049393068,12794.480220994315,0.069881,0.097761,0.134241,0.912925,1.0
arm64,flyology-native,plaintext,1,keepalive,7,14752.832753886425,14582.194816089668,14834.002764816676,0.060520000000000004,0.0848,0.115081,0.47168299999999996,1.0
arm64,flyology-native,response-1k,1,keepalive,7,14120.418297354761,13836.456775172423,14300.982109262162,0.06355999999999999,0.08875999999999999,0.121321,0.47052299999999997,1.0
arm64,servletada-aws,routed-get,1,keepalive,7,3555.62548251602,3409.7945841748933,3867.1092853928703,0.247001,0.40200199999999997,0.494643,0.604723,1.0
arm64,servletada-ews,routed-get,1,keepalive,7,6299.048608467733,6143.60596730541,6370.0581954426525,0.141521,0.222801,0.293641,0.35764199999999996,1.0
amd64,aws,plaintext,1,keepalive,7,18078.196384265437,17556.737305657156,18792.60388336801,0.052783,0.063478,0.07744000000000001,0.137774,1.0
amd64,aws,response-1k,1,keepalive,7,17263.40480960061,15870.715927181604,17964.67079161284,0.054203999999999995,0.07206,0.082161,0.146306,1.0
amd64,ews,plaintext,1,keepalive,7,10913.394317253811,10201.159210180243,11313.49972224978,0.085055,0.12321000000000001,0.13177299999999997,0.31238,1.0
amd64,ews,response-1k,1,keepalive,7,11076.257943290504,9964.69158229146,11788.837797805176,0.085448,0.117609,0.13128099999999998,0.276067,1.0
amd64,flyology-app-lightweight,routed-get,1,keepalive,7,18460.045228467752,17285.000401541325,19958.926473161155,0.051208000000000004,0.061754,0.095042,0.39197899999999997,1.0
amd64,flyology-app-native,routed-get,1,keepalive,7,17730.850121124226,17636.464682601876,18597.36051820001,0.054676999999999996,0.056954,0.086013,0.734035,1.0
amd64,flyology-lightweight,plaintext,1,keepalive,7,21181.775017752883,20227.29654586862,22977.66540231033,0.043754999999999995,0.05457,0.08472700000000001,0.38415600000000005,1.0
amd64,flyology-lightweight,response-1k,1,keepalive,7,21191.58492743958,17648.449972640992,21739.550703141653,0.044369,0.056734,0.088726,0.386617,1.0
amd64,flyology-native,plaintext,1,keepalive,7,20063.158135665537,19344.543541473406,20548.30620980879,0.048949,0.051292000000000004,0.077298,0.781809,1.0
amd64,flyology-native,response-1k,1,keepalive,7,18683.674250077354,18236.134772106543,18982.130226537858,0.051444,0.054647,0.087552,0.784021,1.0
amd64,servletada-aws,routed-get,1,keepalive,7,9517.192711424426,9394.572842212325,10060.480645943704,0.09857300000000001,0.121443,0.150685,0.324135,1.0
amd64,servletada-ews,routed-get,1,keepalive,7,10058.489656882715,9643.79090331777,10525.179678352903,0.093023,0.132494,0.14399,0.34349100000000005,1.0
