server,workload,concurrency,connection_mode,trials,median_requests_per_second,min_requests_per_second,max_requests_per_second,median_p50_ms,median_p90_ms,median_p99_ms,median_p999_ms,minimum_success_rate
aws,plaintext,1,keepalive,3,18494.767569279407,15049.172145586617,18529.263862184966,0.056709,0.066834,0.08537700000000001,0.136794,1.0
aws,plaintext,8,keepalive,3,44822.67742165716,44503.208493178594,48980.39944856935,0.177087,0.25904600000000005,0.300255,0.399257,1.0
aws,plaintext,32,keepalive,3,30551.704396754543,30095.48766669596,31587.915031533776,1.0093509999999999,1.1525610000000002,1.326106,3.431308,1.0
aws,response-1k,1,keepalive,3,15182.512638857805,14750.956486754949,15498.189312087079,0.06691699999999999,0.074293,0.087876,0.135794,1.0
aws,response-1k,8,keepalive,3,42909.15324764752,41161.928455881214,44567.45810945818,0.17521099999999998,0.27883800000000003,0.322256,0.42696599999999996,1.0
aws,response-1k,32,keepalive,3,29861.309644517118,28847.478303955686,30444.539752133947,1.078977,1.1775200000000001,1.3718160000000001,1.879448,1.0
ews,plaintext,1,keepalive,3,15207.48804093133,15035.858315482037,16009.39826936409,0.066418,0.070293,0.08033499999999999,0.132044,1.0
ews,plaintext,8,keepalive,3,27767.13290029083,27557.256533173888,29614.16149555358,0.071752,0.077251,0.092126,20.749444999999998,1.0
ews,plaintext,32,keepalive,3,28816.065048634657,28761.512912158112,28944.584398514053,0.070751,0.075418,0.085293,77.476185,1.0
ews,response-1k,1,keepalive,3,16188.834842938906,15819.022467629185,16305.755652597107,0.061376,0.06883399999999999,0.079043,0.125711,1.0
ews,response-1k,8,keepalive,3,28223.687407739057,27326.317420924915,28533.794347383147,0.07183400000000001,0.076835,0.087918,9.312663,1.0
ews,response-1k,32,keepalive,3,26697.771539057547,26563.316397925177,30663.86208294461,0.073377,0.078835,0.09321,79.006476,1.0
flyology-app-lightweight,routed-get,1,keepalive,3,19220.7163430371,18833.21135583631,21420.31145032894,0.050667000000000004,0.056792,0.066585,0.25167100000000003,1.0
flyology-app-lightweight,routed-get,8,keepalive,3,53901.619154593354,49667.80493810999,54812.76198589277,0.143669,0.15925299999999998,0.346465,0.664053,1.0
flyology-app-lightweight,routed-get,32,keepalive,3,52643.15543964443,51060.461085004914,54367.94377349438,0.604261,0.640678,0.8171390000000001,1.245147,1.0
flyology-app-native,routed-get,1,keepalive,3,22278.4304850873,15618.316305184935,29491.702815107266,0.047626,0.051417,0.068751,0.331589,1.0
flyology-app-native,routed-get,8,keepalive,3,140493.1959038568,124082.15642903649,225670.14313409163,0.056042999999999996,0.079668,0.122836,0.359048,1.0
flyology-app-native,routed-get,32,keepalive,3,350433.20635928435,273341.96110649477,358895.029921535,0.076918,0.148253,0.32538100000000003,0.628386,1.0
flyology-lightweight,plaintext,1,keepalive,3,19593.815746806646,17386.496454682085,22035.47656896246,0.046792999999999994,0.054417,0.06454299999999999,0.274921,1.0
flyology-lightweight,plaintext,8,keepalive,3,64885.64234922871,63917.69758497923,68167.61918878312,0.11996,0.135252,0.20925300000000002,0.448424,1.0
flyology-lightweight,plaintext,32,keepalive,3,68458.6060618931,64802.87979045314,69166.30699419862,0.462341,0.49280000000000007,0.633303,0.9788500000000001,1.0
flyology-lightweight,response-1k,1,keepalive,3,20768.259271139214,20336.568930717374,24844.215310908894,0.048918,0.052334,0.063668,0.260129,1.0
flyology-lightweight,response-1k,8,keepalive,3,65485.599561493385,59885.37124345846,65684.17804954936,0.118794,0.133668,0.180378,0.452758,1.0
flyology-lightweight,response-1k,32,keepalive,3,63692.520998661974,59569.705041826564,63827.147817022575,0.49592500000000006,0.542134,0.6397189999999999,1.072268,1.0
flyology-native,plaintext,1,keepalive,3,39208.12305737414,26117.037749953575,43646.77114097017,0.023,0.04546,0.053001000000000006,0.276796,1.0
flyology-native,plaintext,8,keepalive,3,239858.12302033955,149735.42651067575,265972.94202106533,0.019208999999999997,0.061418,0.097793,0.353132,1.0
flyology-native,plaintext,32,keepalive,3,383993.7172628622,368669.71204641985,385781.66857579385,0.070793,0.137502,0.31242200000000003,0.605594,1.0
flyology-native,response-1k,1,keepalive,3,25216.846592409835,23775.00281264767,27100.715449501935,0.044168,0.049376,0.056916999999999995,0.257004,1.0
flyology-native,response-1k,8,keepalive,3,161490.70102769576,157182.3982671982,196164.25547522542,0.050043000000000004,0.07408500000000001,0.113169,0.349256,1.0
flyology-native,response-1k,32,keepalive,3,373935.1126214395,356455.71910716046,376283.5255830539,0.072293,0.14066900000000002,0.30488,0.584427,1.0
servletada-aws,routed-get,1,keepalive,3,10027.63540483914,9809.325943126205,10926.421933333479,0.101751,0.119419,0.134377,0.227963,1.0
servletada-aws,routed-get,8,keepalive,3,34107.56956745167,33312.401625833285,35489.036309857416,0.21754500000000002,0.351756,0.516551,0.6916370000000001,1.0
servletada-aws,routed-get,32,keepalive,3,17513.59481143705,15349.822434984426,17669.03723812924,1.874074,2.1144950000000002,2.759048,5.614720999999999,1.0
servletada-ews,routed-get,1,keepalive,3,14755.405223094356,14702.22066854972,14963.491290290818,0.067542,0.073459,0.08179299999999999,0.113336,1.0
servletada-ews,routed-get,8,keepalive,3,24296.889482878385,24260.401570734153,26857.93768305232,0.081543,0.086876,0.11296,16.881331,1.0
servletada-ews,routed-get,32,keepalive,3,24708.224456699096,24162.256491564625,25783.88071284726,0.07920999999999999,0.087334,0.10566800000000001,80.24149799999999,1.0
